Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research,,,,
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa,,,,
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice,,,,
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa,,,,
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa,,,,
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa,,,,
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa,,,,
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Daily,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
17603,22/01/19,25.2,24,9.3,24,6.1,24,-,-,-,D
24120,22/01/19,24,24,13.3,24,-,-,-,-,-,D
35136,22/01/19,21.6,24,9.9,24,-,-,-,-,-,D
40985,22/01/19,24.4,24,12.5,24,10.1,24,-,-,-,D
4843,22/01/19,24.2,24,11.3,24,8.5,24,-,-,-,D
17603,23/01/19,29.3,24,16,24,11.6,24,-,-,-,D
24120,23/01/19,31.6,24,14.7,24,-,-,-,-,-,D
35136,23/01/19,25.9,24,14,24,-,-,-,-,-,D
40985,23/01/19,30.7,24,16.1,24,13.2,24,-,-,-,D
4843,23/01/19,30.7,24,14.9,24,17.5,24,-,-,-,D
17603,24/01/19,31.5,24,5.7,24,1.1,24,-,-,-,D
24120,24/01/19,33.4,24,7.2,24,-,-,-,-,-,D
35136,24/01/19,27,24,7.1,24,-,-,-,-,-,D
40985,24/01/19,32.6,24,10,24,8.7,24,-,-,-,D
4843,24/01/19,33,24,7.3,24,5.5,24,-,-,-,D
17603,25/01/19,17.9,24,9,24,5.6,24,-,-,-,D
24120,25/01/19,19.9,24,9.5,24,-,-,-,-,-,D
35136,25/01/19,15.9,24,8.5,24,-,-,-,-,-,D
40985,25/01/19,18.7,24,11,24,9.4,24,-,-,-,D
4843,25/01/19,19.2,24,7.6,24,6.5,24,-,-,-,D
17603,26/01/19,20.1,24,13.5,24,11.7,24,-,-,-,D
24120,26/01/19,20.3,24,15.2,24,-,-,-,-,-,D
35136,26/01/19,17.8,24,10.7,24,-,-,-,-,-,D
40985,26/01/19,19.7,24,13.7,24,12.3,24,-,-,-,D
4843,26/01/19,20.4,24,13,24,13,24,-,-,-,D
17603,27/01/19,25.8,24,16.8,24,15.3,24,-,-,-,D
24120,27/01/19,27.2,24,17.4,24,-,-,-,-,-,D
35136,27/01/19,23.3,24,13.2,24,-,-,-,-,-,D
40985,27/01/19,28.6,24,16.6,24,15.1,24,-,-,-,D
4843,27/01/19,27.5,24,16.3,24,15.2,24,-,-,-,D
17603,28/01/19,26,24,16.6,24,16.1,24,-,-,-,D
24120,28/01/19,27.8,24,16.8,24,-,-,-,-,-,D
35136,28/01/19,24.6,24,13.2,24,-,-,-,-,-,D
40985,28/01/19,26.2,24,16.2,24,14.1,24,-,-,-,D
4843,28/01/19,30.4,24,15.9,24,15.6,24,-,-,-,D
17603,29/01/19,27.1,24,14.8,24,10.9,24,-,-,-,D
24120,29/01/19,28.4,24,16.5,24,-,-,-,-,-,D
35136,29/01/19,26.2,24,14.4,24,-,-,-,-,-,D
40985,29/01/19,29,24,16.6,24,15,24,-,-,-,D
4843,29/01/19,28.4,24,14.4,24,11.4,24,-,-,-,D
17603,30/01/19,23.4,24,14.1,24,11.6,24,-,-,-,D
24120,30/01/19,21.8,24,16.8,24,-,-,-,-,-,D
35136,30/01/19,22.4,24,15.1,24,-,-,-,-,-,D
40985,30/01/19,25.1,24,16.4,24,14.6,24,-,-,-,D
4843,30/01/19,21.7,24,15.4,24,12.1,24,-,-,-,D
17603,31/01/19,30.2,24,17.2,24,16.3,24,-,-,-,D
24120,31/01/19,31.2,24,17.8,24,-,-,-,-,-,D
35136,31/01/19,31,24,17.4,24,-,-,-,-,-,D
40985,31/01/19,29.4,24,18.5,24,15.3,24,-,-,-,D
4843,31/01/19,32.2,24,16.4,24,15.1,24,-,-,-,D
17603,01/02/19,26.4,24,17,24,14.6,24,-,-,-,D
24120,01/02/19,24.4,24,15.7,24,-,-,-,-,-,D
35136,01/02/19,26.7,24,17.6,24,-,-,-,-,-,D
40985,01/02/19,25.6,24,17.6,24,14.6,24,-,-,-,D
4843,01/02/19,25.1,24,13.5,24,11.8,24,-,-,-,D
17603,02/02/19,29.1,24,6.5,24,1.9,24,-,-,-,D
24120,02/02/19,28.8,24,8.1,24,-,-,-,-,-,D
35136,02/02/19,24.2,24,8.8,24,-,-,-,-,-,D
40985,02/02/19,27.6,24,10.2,24,7.1,24,-,-,-,D
4843,02/02/19,29.3,24,4.2,24,3,24,-,-,-,D
17603,03/02/19,20.8,24,13.4,24,12.3,24,-,-,-,D
24120,03/02/19,20.8,24,14.5,24,-,-,-,-,-,D
35136,03/02/19,18.1,24,11.2,24,-,-,-,-,-,D
40985,03/02/19,21.2,24,15.3,24,13,24,-,-,-,D
4843,03/02/19,20.8,24,9.3,24,6.9,24,-,-,-,D
17603,04/02/19,22.3,24,12.2,24,9.4,24,-,-,-,D
24120,04/02/19,21.6,24,13.9,24,-,-,-,-,-,D
35136,04/02/19,19.6,24,12.7,24,-,-,-,-,-,D
40985,04/02/19,22.5,24,12.2,24,8,24,-,-,-,D
4843,04/02/19,22.5,24,11.5,24,7.9,24,-,-,-,D
17603,05/02/19,32.7,24,10.2,24,5.2,24,-,-,-,D
24120,05/02/19,30.7,24,14.5,24,-,-,-,-,-,D
35136,05/02/19,28.5,24,14.7,24,-,-,-,-,-,D
40985,05/02/19,31.8,24,18.4,24,11.7,24,-,-,-,D
4843,05/02/19,31,24,11,24,6.8,24,-,-,-,D
17603,06/02/19,28.8,24,11.9,24,11.5,24,-,-,-,D
24120,06/02/19,31.5,24,13,24,-,-,-,-,-,D
35136,06/02/19,26.6,24,8.7,24,-,-,-,-,-,D
40985,06/02/19,31,24,12.4,24,12.2,24,-,-,-,D
4843,06/02/19,31.9,24,12.5,24,13.1,24,-,-,-,D
17603,07/02/19,15,24,4.8,24,0.8,24,-,-,-,D
24120,07/02/19,17.5,24,7.8,24,-,-,-,-,-,D
35136,07/02/19,14.1,24,7.2,24,-,-,-,-,-,D
40985,07/02/19,17,24,7.9,24,4.1,24,-,-,-,D
4843,07/02/19,15.7,24,3.3,24,1.6,24,-,-,-,D
17603,08/02/19,18.3,24,10.5,24,8.7,24,-,-,-,D
24120,08/02/19,18.6,24,11.8,24,-,-,-,-,-,D
35136,08/02/19,14.1,24,8.5,24,-,-,-,-,-,D
40985,08/02/19,19.2,24,13.2,24,12.1,24,-,-,-,D
4843,08/02/19,18.6,24,7.3,24,4.4,24,-,-,-,D
17603,09/02/19,21.5,24,12.7,24,10.1,24,-,-,-,D
24120,09/02/19,21.2,24,13.4,24,-,-,-,-,-,D
35136,09/02/19,19.6,24,12.2,24,-,-,-,-,-,D
40985,09/02/19,21.8,24,12.7,24,9.1,24,-,-,-,D
4843,09/02/19,22.3,24,11.2,24,7.1,24,-,-,-,D
17603,10/02/19,28.6,24,12.9,24,8.5,24,-,-,-,D
24120,10/02/19,27.7,24,14,24,-,-,-,-,-,D
35136,10/02/19,26.7,24,17.6,24,-,-,-,-,-,D
40985,10/02/19,30,24,14.1,24,10.6,24,-,-,-,D
4843,10/02/19,29.1,24,10.2,24,6.6,24,-,-,-,D
17603,11/02/19,27.2,24,13.3,24,9.2,24,-,-,-,D
24120,11/02/19,26,24,16.5,24,-,-,-,-,-,D
35136,11/02/19,24.4,24,13.7,24,-,-,-,-,-,D
40985,11/02/19,26.6,24,14.2,24,9,24,-,-,-,D
4843,11/02/19,28,24,12.7,24,7.4,24,-,-,-,D
17603,12/02/19,25.8,24,16,24,14.7,24,-,-,-,D
24120,12/02/19,24.6,24,16.8,24,-,-,-,-,-,D
35136,12/02/19,23.6,24,14,24,-,-,-,-,-,D
40985,12/02/19,24.5,24,15.8,24,12.4,24,-,-,-,D
4843,12/02/19,25.3,24,14.3,24,11.6,24,-,-,-,D
17603,13/02/19,28.8,24,15.9,24,14.9,24,-,-,-,D
24120,13/02/19,29.5,24,16.8,24,-,-,-,-,-,D
35136,13/02/19,28.1,24,14,24,-,-,-,-,-,D
40985,13/02/19,30.5,24,14.8,24,11.8,24,-,-,-,D
4843,13/02/19,30.3,24,16.2,24,16.1,24,-,-,-,D
17603,14/02/19,25,24,16.1,24,15.2,24,-,-,-,D
24120,14/02/19,23.8,24,16.5,24,-,-,-,-,-,D
35136,14/02/19,23,24,13.2,24,-,-,-,-,-,D
40985,14/02/19,24.7,24,15.4,24,15.3,24,-,-,-,D
4843,14/02/19,24,24,16.6,24,16.6,24,-,-,-,D
17603,15/02/19,32,24,13.8,24,12.7,24,-,-,-,D
24120,15/02/19,31.6,24,14.2,24,-,-,-,-,-,D
35136,15/02/19,27.3,24,10.7,24,-,-,-,-,-,D
40985,15/02/19,31.3,24,14.2,24,13.2,24,-,-,-,D
4843,15/02/19,32.9,24,13.9,24,13.2,24,-,-,-,D
17603,16/02/19,22.8,24,10.9,24,10.6,24,-,-,-,D
24120,16/02/19,23.1,24,11.5,24,-,-,-,-,-,D
35136,16/02/19,20.3,24,7.6,24,-,-,-,-,-,D
40985,16/02/19,21.6,24,10.6,24,9.9,24,-,-,-,D
4843,16/02/19,23.3,24,10.8,24,10.5,24,-,-,-,D
17603,17/02/19,16.3,24,6.5,24,3.1,24,-,-,-,D
24120,17/02/19,18.8,24,11.4,24,-,-,-,-,-,D
35136,17/02/19,16.1,24,7.6,24,-,-,-,-,-,D
40985,17/02/19,17,24,10.6,24,8.7,24,-,-,-,D
4843,17/02/19,17.3,24,8.1,24,4.4,24,-,-,-,D
17603,18/02/19,20.3,24,7.6,24,4.2,24,-,-,-,D
24120,18/02/19,19.9,24,10.5,24,-,-,-,-,-,D
35136,18/02/19,16.7,24,10.4,24,-,-,-,-,-,D
40985,18/02/19,19.9,24,10.6,24,6,24,-,-,-,D
4843,18/02/19,20.4,24,8.5,24,5.6,24,-,-,-,D
17603,19/02/19,26.7,24,14.1,24,12,24,-,-,-,D
24120,19/02/19,26.1,24,12.4,24,-,-,-,-,-,D
35136,19/02/19,23.9,24,13,24,-,-,-,-,-,D
40985,19/02/19,25.2,24,15,24,9.6,24,-,-,-,D
4843,19/02/19,26.3,24,10.2,24,7.4,24,-,-,-,D
17603,20/02/19,28.6,24,18.3,24,16.1,24,-,-,-,D
24120,20/02/19,28.3,24,18.5,24,-,-,-,-,-,D
35136,20/02/19,24.7,24,17.7,24,-,-,-,-,-,D
40985,20/02/19,26.1,24,19.2,24,15.7,24,-,-,-,D
4843,20/02/19,28.9,24,18.5,24,16.4,24,-,-,-,D
17603,21/02/19,25.6,24,10.9,24,8.1,24,-,-,-,D
24120,21/02/19,27.9,24,16.2,24,-,-,-,-,-,D
35136,21/02/19,23.9,24,12.7,24,-,-,-,-,-,D
40985,21/02/19,26.6,24,12.9,24,9,24,-,-,-,D
4843,21/02/19,27.6,24,16.5,24,15.6,24,-,-,-,D
17603,22/02/19,31.3,24,17.7,24,18.9,24,-,-,-,D
24120,22/02/19,30.4,24,18.3,24,-,-,-,-,-,D
35136,22/02/19,26.1,24,17.4,24,-,-,-,-,-,D
40985,22/02/19,27,24,17.8,24,16.9,24,-,-,-,D
4843,22/02/19,31.5,24,18.2,24,18.1,24,-,-,-,D
17603,23/02/19,28.3,24,6.3,24,2.5,24,-,-,-,D
24120,23/02/19,29.8,24,8.6,24,-,-,-,-,-,D
35136,23/02/19,24.3,24,9.2,24,-,-,-,-,-,D
40985,23/02/19,28.7,24,9.9,24,3.9,24,-,-,-,D
4843,23/02/19,28.8,24,6.1,24,3.7,24,-,-,-,D
17603,24/02/19,18.6,24,11,24,9.8,24,-,-,-,D
24120,24/02/19,20.1,24,11.3,24,-,-,-,-,-,D
